question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).",A,high_school_physics,test,A,"[<OpenAIObject at 0x7fd4e8cd8270> JSON: {
  "" A"": -10.486915,
  ""A"": -0.35984626,
  ""B"": -1.4056894,
  ""C"": -5.182714,
  ""D"": -2.9692802
}]","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g]. This is because the maximum displacement of the original block is equal to A, and the force of static friction between the two blocks must be greater than the force of the spring, which is equal to kA. Therefore, the coefficient of static friction must be greater than kA/[(M+m)g] in order for the small block to remain in place."
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The object’s kinetic energy at the bottom must be,"Equal to the block’s gravitational potential energy when it was released, because total mechanical energy must be conserved.","Equal to the block’s gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.","Less than the block’s gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.","Less than the block’s gravitational potential energy when it was released, because the work done by the friction force must be greater than the block’s gain in kinetic energy.",C,high_school_physics,test,C,"[<OpenAIObject at 0x7fd4e8cd6270> JSON: {
  "" C"": -10.34808,
  ""B"": -11.736251,
  ""C"": -0.0007023416,
  ""D"": -7.324005,
  ""c"": -13.115339
}]","The correct answer is (C). The object's kinetic energy at the bottom must be less than the block's gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy. This is due to the fact that some of the energy is lost to friction as the object slides down the incline. The other choices are incorrect because they do not accurately describe the situation."
Which one of the following statements is true concerning the motion of an ideal projectile launched at an angle of 45° to the horizontal?,The acceleration vector points opposite to the velocity vector on the way up and in the same direction as the velocity vector on the way down.,The speed at the top of the trajectory is zero.,The object's total speed remains constant during the entire flight.,The vertical speed decreases on the way up and increases on the way down.,D,high_school_physics,test,A,"[<OpenAIObject at 0x7fd4e8cd6ef0> JSON: {
  "" A"": -9.706224,
  ""A"": -0.0044957325,
  ""B"": -10.245562,
  ""C"": -6.7845073,
  ""D"": -5.727368
}]","The acceleration vector of an ideal projectile launched at an angle of 45° to the horizontal points opposite to the velocity vector on the way up and in the same direction as the velocity vector on the way down. The speed at the top of the trajectory is not necessarily zero, and the object's total speed does not remain constant during the entire flight. The vertical speed decreases on the way up and increases on the way down."
"A solid sphere (I = 0.06 kg·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphere’s outer surface, a distance of 0.30 m from the sphere’s center. How much time will it take the sphere to come to rest?",4 s,2 s,0.06 s,0.03 s,B,high_school_physics,test,A,"[<OpenAIObject at 0x7fd4e8cd62c0> JSON: {
  "" A"": -9.628147,
  ""A"": -0.2996096,
  ""B"": -1.425693,
  ""C"": -9.596326,
  ""D"": -3.9968238
}]","The time it takes for the sphere to come to rest can be calculated using the equation τ = Iα/F, where τ is the time, I is the moment of inertia, α is the angular acceleration, and F is the friction force.

In this case, I = 0.06 kg·m^2, α = -20 rad/s, and F = 2.0 N. Plugging these values into the equation gives τ = 0.06 kg·m^2(-20 rad/s)/2.0 N = 4 s. Therefore, the correct answer is (A) 4 s."
Which of the following is NOT equal to one tesla?,1 J/(A*m^2),1 kg/(C*s),1 N/(A*m),1 A*N/V,D,high_school_physics,test,D,"[<OpenAIObject at 0x7fd4e8cd6680> JSON: {
  "" D"": -11.0702095,
  ""A"": -4.7800255,
  ""B"": -2.1596565,
  ""C"": -9.164795,
  ""D"": -0.13226324
}]","
One tesla is equal to 1 N/(A*m). This is the SI unit for magnetic flux density. The other choices are all different units and are not equal to one tesla."
Which of the following is often true of memory recall?,People are more likely to recall information that is congruent with their prior schemas.,People will not recall information unless it is stored in working memory.,People have no ability to recall information that has been extinguished.,People will recall nonsense syllables more rapidly than they will sets of numbers.,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4e8cd6310> JSON: {
  "" A"": -11.421522,
  ""A"": -1.2468796e-05,
  ""B"": -19.537512,
  ""D"": -20.96491,
  ""a"": -13.386295
}]",A is the correct answer because it is often true that people are more likely to recall information that is congruent with their prior schemas. This is because prior schemas provide a framework for understanding and remembering new information. B is incorrect because people can recall information that is not stored in working memory. C is incorrect because people can recall information that has been extinguished. D is incorrect because people are more likely to recall sets of numbers more rapidly than nonsense syllables.
Free association and dream interpretation frequently characterize which of the following treatments?,psychoanalysis,behavior therapy,humanistic therapy,cognitive therapy,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4e8cd6db0> JSON: {
  "" A"": -13.312661,
  ""A"": -1.8601542e-06,
  ""B"": -20.681301,
  ""D"": -21.462465,
  ""a"": -15.241893
}]","Free association and dream interpretation are two of the most common techniques used in psychoanalysis, a type of psychodynamic therapy. Behavior therapy, humanistic therapy, and cognitive therapy do not typically use these techniques."
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4e8cd6b30> JSON: {
  "" D"": -11.807823,
  ""A"": -15.77198,
  ""B"": -12.0909605,
  ""D"": -1.3542607e-05,
  ""d"": -14.950745
}]","The fundamental attribution error is a cognitive bias that causes people to overestimate the influence of internal factors (such as personality) and underestimate the influence of external factors (such as luck) when explaining the behavior of others. In this case, Sal has attributed Petunia's behavior to her personality, when in reality it is due to her recent good luck."
Which of the following best explains why babies have poor vision for the first few weeks of life?,The nodes of Ranvier have not yet formed.,The neural connections to the primary visual cortex are not fully connected.,"The axons are covered in tight coats of lipids, which impede neural firing.",The synaptic cleft of the neuron is filled with an aqueous humor.,B,high_school_psychology,test,B,"[<OpenAIObject at 0x7fd4e8cd6e00> JSON: {
  "" B"": -11.018348,
  ""A"": -18.67079,
  ""B"": -1.676031e-05,
  ""C"": -17.07544,
  ""b"": -14.961914
}]","Babies have poor vision for the first few weeks of life because the neural connections to the primary visual cortex are not fully connected. This means that the signals from the eyes are not being properly transmitted to the brain, resulting in poor vision."
"Every time you buy ice cream from the Yellow Brick Road ice cream parlor, you get your over-the-rainbow card stamped. Once you purchase ten items, you get your next item free. The Yellow Brick Road ice cream parlor has you on which of the following reinforcement schedules?",Variable-ratio,Variable-interval,Fixed-ratio,Fixed-interval,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4e8cd68b0> JSON: {
  ""A"": -1.5547693,
  ""B"": -11.937549,
  ""C"": -0.2373178,
  ""D"": -11.6726675,
  ""c"": -12.621566
}]","The Yellow Brick Road ice cream parlor has you on a fixed-ratio reinforcement schedule. This means that you receive a reward after a fixed number of responses (in this case, after purchasing ten items)."
Which of the following terms is most closely associated with creativity?,hypothesis testing,contextual intelligence,divergent thinking,habituation,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4e8cd6130> JSON: {
  "" C"": -13.435181,
  ""B"": -18.664421,
  ""C"": -1.8601542e-06,
  ""D"": -16.06608,
  ""c"": -14.905419
}]","The term most closely associated with creativity is divergent thinking, which is the ability to think of multiple solutions to a problem or multiple interpretations of a concept. Hypothesis testing is the process of testing a hypothesis to determine its validity, contextual intelligence is the ability to understand the context of a situation, and habituation is the process of becoming accustomed to a stimulus."
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4e8cd64a0> JSON: {
  "" C"": -11.493701,
  ""A"": -12.62979,
  ""B"": -14.648542,
  ""C"": -1.5214344e-05,
  ""c"": -13.836049
}]","Public institutions are expected to adhere to ethical guidelines such as avoiding unnecessary deception to humans, avoiding unnecessary pain to humans and other animals, and protecting confidentiality. However, they are not expected to avoid the use of animals when computers are available. Therefore, the correct answer is (C)."
Which psychoactive drugs are most frequently prescribed to relieve pain?,stimulants,depressants,antidepressants,narcotics,D,high_school_psychology,val,D,"[<OpenAIObject at 0x7fd4e8cd6900> JSON: {
  "" D"": -12.787646,
  ""A"": -17.571417,
  ""C"": -18.41729,
  ""D"": -3.4089344e-06,
  ""d"": -14.231289
}]","Narcotics are the most commonly prescribed psychoactive drugs for pain relief. Narcotics are a type of opioid drug that can be used to reduce pain and provide a feeling of relaxation. They are usually prescribed for short-term use, as they can be highly addictive and have a high potential for abuse."
"According to researchers Darley and Latanne, bystander intervention decreases when a large number of people witness a crime. What social psychology concept could best explain this phenomenon?",Social loafing,Prejudice,Conformity,Diffusion of responsibility,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4e8cd69f0> JSON: {
  "" D"": -12.737201,
  ""A"": -16.789042,
  ""C"": -18.189474,
  ""D"": -3.2906587e-06,
  ""d"": -14.955178
}]","The phenomenon described in the question is known as the diffusion of responsibility, which is a social psychology concept that states that individuals are less likely to take action when there are a large number of people present. This is because the responsibility for taking action is diffused among the group, making it less likely that any one individual will take action."
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4e8cd60e0> JSON: {
  "" C"": -13.672217,
  ""B"": -16.165892,
  ""C"": -1.6207987e-06,
  ""D"": -16.142353,
  ""c"": -15.143398
}]","The AP Psychology examination given by the College Board in May is an achievement test, which is designed to measure a student's knowledge and understanding of a particular subject. It is not an aptitude test, which is designed to measure a person's potential for learning; a projective test, which is designed to measure a person's unconscious motivations and attitudes; or an intelligence test, which is designed to measure a person's cognitive abilities."
Milgram's obedience study was criticized based on what ethical grounds?,lack of informed consent,nonrandom sampling procedures,violation of anonymity,risk of psychological harm,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4e8cd6bd0> JSON: {
  "" D"": -13.255755,
  ""A"": -5.484496,
  ""C"": -16.391306,
  ""D"": -0.004161392,
  ""d"": -15.268889
}]","Milgram's obedience study was criticized on ethical grounds due to the risk of psychological harm it posed to the participants. The study involved participants administering electric shocks to other participants, which could have caused psychological distress. Other ethical issues raised included lack of informed consent, nonrandom sampling procedures, and violation of anonymity."
"Which of the following subsystems of the autonomic nervous system help the body return to ""business-as-usual"" after an emergency?",Somatic nervous system,Peripheral nervous system,Sympathetic nervous system,Parasympathetic nervous system,D,high_school_psychology,val,D,"[<OpenAIObject at 0x7fd4e8cd6590> JSON: {
  "" D"": -12.085129,
  ""A"": -17.391008,
  ""C"": -13.735543,
  ""D"": -7.3446927e-06,
  ""d"": -14.222837
}]","The parasympathetic nervous system is responsible for helping the body return to ""business-as-usual"" after an emergency. It is part of the autonomic nervous system, which is responsible for controlling involuntary functions such as heart rate, digestion, and respiration. The somatic nervous system is responsible for controlling voluntary functions such as movement, while the peripheral nervous system is responsible for connecting the central nervous system to the rest of the body. The sympathetic nervous system is responsible for activating the body's ""fight or flight"" response during an emergency."
Which of the following drugs is classified as a stimulant?,alcohol,nicotine,heroin,phencyclidine,B,high_school_psychology,val,B,"[<OpenAIObject at 0x7fd4e8cd6950> JSON: {
  "" B"": -13.556323,
  ""A"": -15.309583,
  ""B"": -2.0966954e-06,
  ""C"": -17.21218,
  ""b"": -14.313176
}]","Nicotine is classified as a stimulant, while alcohol, heroin, and phencyclidine are not. Stimulants are drugs that increase alertness, attention, and energy, while depressants, such as alcohol, reduce these functions."
"In a crisis, the adrenal glands of the body secrete ""emergency"" hormones, while the body prepares for fight-or-flight, directed by",the central nervous system,the somatic nervous system,the sensorimotor nervous system,the sympathetic nervous system,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800c950> JSON: {
  "" D"": -12.155196,
  ""A"": -15.0247555,
  ""C"": -15.405421,
  ""D"": -6.1516675e-06,
  ""d"": -14.80229
}]","The sympathetic nervous system is responsible for the body's fight-or-flight response in a crisis. In response to a stressful situation, the adrenal glands secrete hormones such as adrenaline and cortisol, which prepare the body for fight-or-flight. The sympathetic nervous system then directs the body's response to the situation."
"The decision in Tarasoff v. Regents of the University of California (1974, 1976) established which of the following principles regarding confidentiality in counseling relationships?",Duty to warn and protect,Responsibility to maintain privacy,Need to obtain informed consent,Need to maintain accurate records,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800c4a0> JSON: {
  "" A"": -12.754997,
  ""A"": -4.0040345e-06,
  ""B"": -19.537361,
  ""D"": -19.989012,
  ""a"": -13.599661
}]","The decision in Tarasoff v. Regents of the University of California (1974, 1976) established the principle of a duty to warn and protect, which requires mental health professionals to take reasonable steps to protect individuals who may be at risk of harm due to the actions of their clients. This principle has become a cornerstone of confidentiality in counseling relationships."
"In most people, the left hemisphere of the brain is dominant for",language,logic,analytical reasoning,mathematical reasoning,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800c130> JSON: {
  "" A"": -12.836061,
  ""A"": -3.170517e-06,
  ""B"": -19.118443,
  ""D"": -19.332067,
  ""a"": -14.320121
}]","The left hemisphere of the brain is typically dominant for language in most people. This includes the ability to understand and produce language, as well as the ability to comprehend and interpret written and spoken language. The right hemisphere is typically dominant for logic, analytical reasoning, and mathematical reasoning."
Which of the following kinds of personality theorists is the most likely to use a projective test?,social-cognitive,behaviorist,humanist,psychoanalyst,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800cae0> JSON: {
  "" D"": -13.289872,
  ""A"": -19.452354,
  ""C"": -16.39895,
  ""D"": -1.9765537e-06,
  ""d"": -15.425857
}]","A psychoanalyst is the most likely to use a projective test, as this type of test is used to uncover unconscious thoughts and feelings. Social-cognitive, behaviorist, and humanist theorists are more likely to use other types of tests, such as self-report tests or observational tests."
An unjustifiable and usually negative attitude toward a group and its members is called,prejudice,ethnocentrism,in-group bias,discrimination,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800c7c0> JSON: {
  "" A"": -11.691146,
  ""A"": -9.606849e-06,
  ""B"": -18.495794,
  ""D"": -20.208319,
  ""a"": -13.561505
}]",An unjustifiable and usually negative attitude toward a group and its members is called prejudice. Prejudice is an attitude or opinion formed without adequate knowledge or examination of the facts. Ethnocentrism is the belief that one's own culture is superior to others. In-group bias is the tendency to favor members of one's own group. Discrimination is the unjust or prejudicial treatment of different categories of people or things.
A low level of glucose in Sam's bloodstream is most likely to make him want to,engage in risky behavior.,pursue a romantic interest.,eat a meal.,study to improve his grades.,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4b800c9f0> JSON: {
  "" C"": -11.387368,
  ""B"": -18.382309,
  ""C"": -1.1514188e-05,
  ""D"": -18.347713,
  ""c"": -15.179002
}]",A low level of glucose in Sam's bloodstream is most likely to make him want to eat a meal in order to replenish his energy levels. Eating a meal is the best way to raise his glucose levels and provide him with the energy he needs to continue his activities.
Conflicting attitudes or behaviors that create tension within a person's mind are referred to in terms of,persuasion,general adaptation syndrome,serial position,cognitive dissonance,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800c0e0> JSON: {
  "" D"": -12.306311,
  ""<|endoftext|>"": -19.395048,
  ""C"": -19.224743,
  ""D"": -5.0778563e-06,
  ""d"": -14.311087
}]","Cognitive dissonance is a term used to describe the mental discomfort or tension that arises when a person holds two or more conflicting beliefs, ideas, or values at the same time. It is the psychological conflict that occurs when a person's beliefs, attitudes, or behaviors are inconsistent with one another."
Which of the following lobes of the brain is central to visual sensation and perception?,Occipital,Temporal,Parietal,Frontal,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800ce00> JSON: {
  "" A"": -12.5088215,
  ""A"": -4.361666e-06,
  ""B"": -20.105042,
  ""C"": -20.697079,
  ""a"": -14.160881
}]",The occipital lobe is located at the back of the brain and is responsible for processing visual information. It is the primary area of the brain responsible for visual sensation and perception.
"Rather than use a shortcut to find out various possible combinations of alleles that could result from fertilization of an egg with particular genes by a sperm with particular genes, Shakira systematically lists every single possible combination to determine the probability that the baby will show a particular set of traits. Shakira is solving the problem by use of",trial and error,the availability heuristic,the representativeness heuristic,an algorithm,D,high_school_psychology,val,D,"[<OpenAIObject at 0x7fd4b800c9a0> JSON: {
  "" D"": -12.539961,
  ""A"": -16.232763,
  ""C"": -16.603325,
  ""D"": -6.1516675e-06,
  ""d"": -12.972077
}]","Shakira is solving the problem by use of an algorithm, which is a step-by-step procedure for solving a problem. An algorithm is a systematic approach to problem-solving that involves breaking down a problem into smaller, more manageable parts and then solving each part individually. This is different from trial and error, the availability heuristic, and the representativeness heuristic, which are all methods of problem-solving that involve making decisions based on intuition or past experience."
Iconic memory refers to,visual sensory registries,olfactory sensory registries,frontal sensory registries,STM sensory registries,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800cc20> JSON: {
  "" A"": -12.253776,
  ""A"": -5.912312e-06,
  ""B"": -18.586927,
  ""D"": -17.965338,
  ""a"": -13.632968
}]","Iconic memory is a type of sensory memory that refers to the brief visual sensory registries that occur when an image is seen. It is a type of sensory memory that stores visual information for a very brief period of time, typically for less than a second."
"A piano teacher is helping a student learn a new piece. At first, she praises the student for playing correct notes. After the student begins to show proficiency with the notes, the teacher only praises the student when he adds the proper dynamics and interpretation to the segments he plays. The teacher's method of instruction is an example of which of the following types of training techniques?",Negative reinforcement,Negative punishment,Shaping,Chaining,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4b800ca40> JSON: {
  "" C"": -14.059909,
  ""B"": -17.602907,
  ""C"": -2.4986643e-05,
  ""D"": -10.640497,
  ""c"": -15.253311
}]","The teacher's method of instruction is an example of shaping, which is a type of training technique that involves gradually increasing the complexity of a behavior by rewarding successive approximations of the desired behavior. In this case, the teacher is rewarding the student for playing the correct notes and then gradually increasing the complexity of the behavior by rewarding the student for adding the proper dynamics and interpretation."
Which of the following is a secondary reinforcer?,food,water,money,sex,C,high_school_psychology,test,C,"[<OpenAIObject at 0x7fd4b800c6d0> JSON: {
  "" C"": -14.005241,
  ""A"": -19.934906,
  ""C"": -1.1430258e-06,
  ""D"": -18.406237,
  ""c"": -14.794729
}]","A secondary reinforcer is a stimulus that has acquired its reinforcing properties through its association with a primary reinforcer. Examples of secondary reinforcers include money, tokens, and praise. Primary reinforcers, such as food, water, and sex, are naturally reinforcing and do not require any prior learning."
An action potential involves the movement of,glucose into the axon,fats out of the axon terminal,molecules in the synaptic gap,sodium ions into the axon,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800c680> JSON: {
  "" D"": -12.412555,
  ""A"": -17.221567,
  ""C"": -16.665607,
  ""D"": -5.197998e-06,
  ""d"": -13.629299
}]","An action potential is an electrical signal that is generated by the movement of ions across the cell membrane of a neuron. During an action potential, sodium ions move into the axon, causing a rapid depolarization of the membrane. This depolarization triggers the opening of voltage-gated sodium channels, allowing more sodium ions to enter the axon and further depolarizing the membrane. This process continues until the action potential reaches its peak, at which point the voltage-gated sodium channels close and the voltage-gated potassium channels open, allowing potassium ions to exit the axon and repolarizing the membrane."
"As a result of an accident, Abdul lost sight in his right eye. To judge the distance of vehicles when he is driving, Abdul is able to rely on cues of",I only,II only,III only,I and II only,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800ce50> JSON: {
  "" D"": -10.147047,
  ""A"": -9.246702,
  ""B"": -5.6311703,
  ""C"": -6.729597,
  ""D"": -0.0049439874
}]","Abdul is able to rely on cues of I and II only. Cue I is the size of the vehicle, which can be judged by the size of the vehicle relative to other objects. Cue II is the speed of the vehicle, which can be judged by the rate of change of the vehicle's position relative to other objects. Cue III is the sound of the vehicle, which Abdul cannot rely on since he has lost sight in his right eye."
An animal is not likely to associate a conditioned stimulus (CS) with an unconditioned stimulus (UCS) if the,delay between the CS and the UCS is too long,interval schedule between the two stimuli is variable,fixed-rational schedule between the two stimuli is altered,interstimulus ratio is variable,A,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b800c270> JSON: {
  "" D"": -10.905082,
  ""A"": -0.7887905,
  ""B"": -7.146977,
  ""C"": -10.000725,
  ""D"": -0.6074341
}]","An animal is not likely to associate a conditioned stimulus (CS) with an unconditioned stimulus (UCS) if the interstimulus ratio is variable. This means that the amount of time between the CS and the UCS is not consistent, making it difficult for the animal to form an association between the two stimuli."
"A comprehensive final examination in AP Psychology that consists of questions dealing solely with motivation and emotion, social psychology, and the biological basis of behavior units lacks",content validity,predictive validity,test–retest reliability,alternate-forms reliability,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b800c1d0> JSON: {
  "" A"": -12.634071,
  ""A"": -4.4818075e-06,
  ""C"": -19.528156,
  ""D"": -14.081663,
  ""a"": -14.284393
}]","A comprehensive final examination in AP Psychology that consists of questions dealing solely with motivation and emotion, social psychology, and the biological basis of behavior lacks content validity. Content validity refers to the extent to which a test measures what it is supposed to measure. In this case, the test does not measure all of the topics covered in the AP Psychology course, so it lacks content validity."
Which theory of emotion are cognitive psychologists most likely to support?,social facilitation theory,two-factor theory,thalamic theory,James-Lange theory,B,high_school_psychology,test,B,"[<OpenAIObject at 0x7fd4b8014360> JSON: {
  "" B"": -12.192322,
  ""B"": -1.1991961e-05,
  ""C"": -17.150894,
  ""D"": -11.966624,
  ""b"": -14.4613285
}]","The two-factor theory of emotion is the most widely accepted theory of emotion among cognitive psychologists. This theory states that emotion is the result of both physiological arousal and cognitive appraisal. It suggests that physiological arousal is the first step in the experience of emotion, followed by cognitive appraisal of the situation."
B. F. Skinner was well known for his work involving the,biological perspective,behavioral perspective,cognitive perspective,psychodynamic perspective,B,high_school_psychology,test,B,"[<OpenAIObject at 0x7fd4b8014ef0> JSON: {
  "" B"": -12.185522,
  ""A"": -18.669806,
  ""B"": -5.79217e-06,
  ""C"": -17.168058,
  ""b"": -14.223231
}]","B. F. Skinner was well known for his work involving the behavioral perspective, which focuses on how behavior is shaped by environmental factors. He developed the theory of operant conditioning, which states that behavior is determined by its consequences."
The Whorfian hypothesis of linguistic relativity helps explain why,Eskimos have many words relating to snow,parents use a high-pitched voice when speaking to infants,phonemes are not interchangeable with morphemes,cultures have developed different languages,A,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b80141d0> JSON: {
  "" D"": -11.28357,
  ""A"": -10.003416,
  ""B"": -18.041641,
  ""D"": -5.8845668e-05,
  ""d"": -13.903277
}]","The Whorfian hypothesis of linguistic relativity, also known as the Sapir-Whorf hypothesis, states that the language a person speaks influences the way they think and perceive the world. This hypothesis helps explain why different cultures have developed different languages, as the language a person speaks shapes their worldview."
"Max was typically out of control whenever he attended preschool. Teachers tried time-outs and other punishments to no avail. His parents and the school decided to work with Max by giving him a sticker each time he behaved for a full hour. Once he accumulated ten stickers, he could present them to his parents who would give him a reward. The method the school and parents chose to employ is referred to as",negative reinforcement,a token economy,a point value system,negative punishment,B,high_school_psychology,test,B,"[<OpenAIObject at 0x7fd4b8014950> JSON: {
  "" B"": -11.972961,
  ""B"": -7.224551e-06,
  ""C"": -16.319735,
  ""D"": -17.047768,
  ""b"": -13.994171
}]","The method the school and parents chose to employ is referred to as a token economy. This is a type of behavior modification technique in which a person is rewarded with a token (in this case, a sticker) for exhibiting a desired behavior. Once the person accumulates a certain number of tokens, they can exchange them for a reward."
A school psychologist is asked to help Ms. Smith address problem behaviors that are disrupting the learning of her students. The school psychologist is given data that indicate discipline referrals have been written on 26 of the 30 students in Ms. Smith's class. Which of the following is best for the school psychologist to recommend?,Developing individual behavior contracts for the 26 students who have received discipline referrals,Using comprehensive emotional and behavioral assessments for students who have received discipline referrals,"Providing school-based group counseling to address issues such as study skills, attendance, decision making, problem solving, and goal setting.","Implementing a class-wide behavior management plan, such as a responsecost raffle.",D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b8014f40> JSON: {
  "" D"": -10.182602,
  ""A"": -10.763557,
  ""B"": -10.988741,
  ""C"": -9.405891,
  ""D"": -0.00015863274
}]","The best recommendation for the school psychologist to make in this situation is to implement a class-wide behavior management plan, such as a response-cost raffle. This type of plan is designed to address problem behaviors in a group setting, and can be used to reward positive behaviors and discourage negative behaviors. It is also a more efficient and cost-effective approach than developing individual behavior contracts or providing school-based group counseling."
Jyoti notes the behavior of people as they wait in line for tickets to rock concerts. Which of the following research methods is she using?,naturalistic observation,survey,controlled experiment,quasi-experiment,A,high_school_psychology,test,A,"[<OpenAIObject at 0x7fd4b80144a0> JSON: {
  "" A"": -12.547823,
  ""A"": -4.361666e-06,
  ""B"": -18.295475,
  ""D"": -19.681223,
  ""a"": -13.941484
}]","Jyoti is using naturalistic observation to study the behavior of people as they wait in line for tickets to rock concerts. Naturalistic observation is a research method in which the researcher observes behavior in its natural setting without manipulating or controlling any variables. This is in contrast to survey, controlled experiment, and quasi-experiment, which involve manipulating or controlling variables."
A clinical psychologist who is working with an aggressive child seeks to understand the child's behavior in light of the dynamics of the entire family. Which of the following best identifies the approach the psychologist has chosen?,Cognitive social approach,Behavioral approach,Psychoanalytic approach,Systems approach,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b8014270> JSON: {
  "" D"": -14.090015,
  ""A"": -15.37651,
  ""C"": -18.424818,
  ""D"": -1.3823812e-06,
  ""d"": -14.583352
}]","The psychologist has chosen a systems approach, which is an approach that looks at the behavior of an individual in the context of the family system. This approach seeks to understand how the behavior of the individual is affected by the dynamics of the family as a whole."
Stimulation of norepinephrine receptors appears to produce,euphoria,increased motor activity,alertness,anxiety,C,high_school_psychology,val,C,"[<OpenAIObject at 0x7fd4b80149a0> JSON: {
  "" C"": -10.111915,
  ""A"": -14.443885,
  ""B"": -10.498,
  ""C"": -6.9810994e-05,
  ""c"": -14.039703
}]","Stimulation of norepinephrine receptors appears to produce increased alertness, as norepinephrine is a neurotransmitter that is involved in the body's response to stress and arousal. It is also involved in the regulation of mood, attention, and motivation."
"David collected data on 15 research participants. Their scores were: 42, 38, 14, 13, 12, 12, 11, 11, 11, 10, 10, 10, 9, 9, 9. Which of the following statistics best reflects the central tendency of this data set?",standard deviation,correlation coefficient,mode,median,D,high_school_psychology,test,D,"[<OpenAIObject at 0x7fd4b80148b0> JSON: {
  "" D"": -13.153816,
  ""B"": -18.308897,
  ""C"": -14.876437,
  ""D"": -2.9311614e-06,
  ""d"": -14.160317
}]","The median is the best measure of central tendency for this data set because it is not heavily skewed by outliers. The median is the middle value of the data set, which in this case is 11. The mode is the most frequently occurring value, which in this case is 10. The standard deviation and correlation coefficient are not measures of central tendency."
A special diet can prevent the expression of the trait for,Tay-Sachs syndrome,PKU (phenylketonuria),Huntington's disease,Down syndrome,B,high_school_psychology,test,B,"[<OpenAIObject at 0x7fd4b8014f90> JSON: {
  "" B"": -12.23533,
  ""A"": -18.402077,
  ""B"": -5.3162735e-06,
  ""C"": -20.705345,
  ""b"": -14.622872
}]",A special diet can prevent the expression of the trait for PKU (phenylketonuria). PKU is an inherited disorder that affects the metabolism of the amino acid phenylalanine. A special diet that is low in phenylalanine can help prevent the expression of the trait for PKU.
